Qtd V̩rt;Problema;Densidade;Tempo
1024;Clique;0.99;4.686000e-06
1280;Clique;0.99;6.935000e-06
1536;Clique;0.99;9.503000e-06
1792;Clique;0.99;1.253500e-05
2048;Clique;0.99;1.595200e-05
2304;Clique;0.99;1.995300e-05
2560;Clique;0.99;2.440800e-05
2816;Clique;0.99;2.921500e-05
3072;Clique;0.99;3.671800e-05
3328;Clique;0.99;4.309800e-05
3584;Clique;0.99;4.946100e-05
3840;Clique;0.99;5.431400e-05
4096;Clique;0.99;5.793600e-05
4352;Clique;0.99;6.251500e-05
4608;Clique;0.99;6.578400e-05
4864;Clique;0.99;7.080000e-05
5120;Clique;0.99;7.487900e-05
5376;Clique;0.99;7.883200e-05
5632;Clique;0.99;8.339600e-05
5888;Clique;0.99;8.634500e-05
6144;Clique;0.99;9.140100e-05
6400;Clique;0.99;9.613500e-05
6656;Clique;0.99;9.997500e-05
6912;Clique;0.99;1.046930e-04
7168;Clique;0.99;1.085790e-04
7424;Clique;0.99;1.136310e-04
7680;Clique;0.99;1.184510e-04
7936;Clique;0.99;1.217430e-04
8192;Clique;0.99;1.263680e-04
1024;Largura;0.250000;1.208790e-04
1280;Largura;0.250000;1.807540e-04
1536;Largura;0.250000;2.523830e-04
1792;Largura;0.250000;3.356740e-04
2048;Largura;0.250000;4.288720e-04
2304;Largura;0.250000;5.360620e-04
2560;Largura;0.250000;6.531130e-04
2816;Largura;0.250000;7.776540e-04
3072;Largura;0.250000;9.152370e-04
3328;Largura;0.250000;1.091156e-03
3584;Largura;0.250000;1.254518e-03
3840;Largura;0.250000;1.432644e-03
4096;Largura;0.250000;1.616714e-03
4352;Largura;0.250000;1.796488e-03
4608;Largura;0.250000;1.975088e-03
4864;Largura;0.250000;2.190462e-03
5120;Largura;0.250000;2.413721e-03
5376;Largura;0.250000;2.661318e-03
5632;Largura;0.250000;2.912572e-03
5888;Largura;0.250000;3.169547e-03
6144;Largura;0.250000;3.573637e-03
6400;Largura;0.250000;3.852546e-03
6656;Largura;0.250000;4.142749e-03
6912;Largura;0.250000;4.432819e-03
7168;Largura;0.250000;4.750792e-03
7424;Largura;0.250000;5.090358e-03
7680;Largura;0.250000;5.429262e-03
7936;Largura;0.250000;5.798004e-03
8192;Largura;0.250000;6.160383e-03
1024;Largura;0.500000;1.199870e-04
1280;Largura;0.500000;1.784920e-04
1536;Largura;0.500000;2.518000e-04
1792;Largura;0.500000;3.355060e-04
2048;Largura;0.500000;4.201160e-04
2304;Largura;0.500000;5.259950e-04
2560;Largura;0.500000;6.401810e-04
2816;Largura;0.500000;7.679310e-04
3072;Largura;0.500000;9.178540e-04
3328;Largura;0.500000;1.082515e-03
3584;Largura;0.500000;1.234162e-03
3840;Largura;0.500000;1.401833e-03
4096;Largura;0.500000;1.583212e-03
4352;Largura;0.500000;1.771186e-03
4608;Largura;0.500000;1.967012e-03
4864;Largura;0.500000;2.164957e-03
5120;Largura;0.500000;2.711529e-03
5376;Largura;0.500000;2.632078e-03
5632;Largura;0.500000;2.869014e-03
5888;Largura;0.500000;3.124407e-03
6144;Largura;0.500000;3.516246e-03
6400;Largura;0.500000;3.824673e-03
6656;Largura;0.500000;4.107655e-03
6912;Largura;0.500000;4.431398e-03
7168;Largura;0.500000;4.711056e-03
7424;Largura;0.500000;5.058040e-03
7680;Largura;0.500000;5.399587e-03
7936;Largura;0.500000;5.744726e-03
8192;Largura;0.500000;6.241165e-03
1024;Largura;0.750000;1.188700e-04
1280;Largura;0.750000;1.762090e-04
1536;Largura;0.750000;2.467240e-04
1792;Largura;0.750000;3.258320e-04
2048;Largura;0.750000;4.138620e-04
2304;Largura;0.750000;5.197870e-04
2560;Largura;0.750000;6.320100e-04
2816;Largura;0.750000;7.607640e-04
3072;Largura;0.750000;9.059700e-04
3328;Largura;0.750000;1.064233e-03
3584;Largura;0.750000;1.222069e-03
3840;Largura;0.750000;1.583609e-03
4096;Largura;0.750000;1.567320e-03
4352;Largura;0.750000;1.756428e-03
4608;Largura;0.750000;1.934455e-03
4864;Largura;0.750000;2.168110e-03
5120;Largura;0.750000;2.367785e-03
5376;Largura;0.750000;2.603356e-03
5632;Largura;0.750000;2.853981e-03
5888;Largura;0.750000;3.110132e-03
6144;Largura;0.750000;3.491760e-03
6400;Largura;0.750000;3.774970e-03
6656;Largura;0.750000;4.075445e-03
6912;Largura;0.750000;4.399778e-03
7168;Largura;0.750000;4.713342e-03
7424;Largura;0.750000;5.011092e-03
7680;Largura;0.750000;5.372510e-03
7936;Largura;0.750000;5.698336e-03
8192;Largura;0.750000;6.160407e-03
1024;Largura;0.950000;1.186090e-04
1280;Largura;0.950000;1.746760e-04
1536;Largura;0.950000;2.415430e-04
1792;Largura;0.950000;3.259650e-04
2048;Largura;0.950000;4.088360e-04
2304;Largura;0.950000;5.170070e-04
2560;Largura;0.950000;6.262610e-04
2816;Largura;0.950000;7.474070e-04
3072;Largura;0.950000;8.813870e-04
3328;Largura;0.950000;1.063177e-03
3584;Largura;0.950000;1.220089e-03
3840;Largura;0.950000;1.627228e-03
4096;Largura;0.950000;1.555998e-03
4352;Largura;0.950000;1.747181e-03
4608;Largura;0.950000;1.927564e-03
4864;Largura;0.950000;2.131587e-03
5120;Largura;0.950000;2.351105e-03
5376;Largura;0.950000;2.604312e-03
5632;Largura;0.950000;2.826392e-03
5888;Largura;0.950000;3.107751e-03
6144;Largura;0.950000;3.478809e-03
6400;Largura;0.950000;4.159009e-03
6656;Largura;0.950000;4.042198e-03
6912;Largura;0.950000;4.359455e-03
7168;Largura;0.950000;4.654262e-03
7424;Largura;0.950000;5.004947e-03
7680;Largura;0.950000;5.336001e-03
7936;Largura;0.950000;5.664275e-03
8192;Largura;0.950000;6.021042e-03
